"Continent","Chrome","IE","Firefox","Yandex Browser","Safari","Android","Edge","Opera","Sogou Explorer","QQ Browser","Maxthon","UC Browser","Coc Coc","360 Safe Browser","Chromium","Amigo","Silk","SeaMonkey","Iron","Phantom","Pale Moon"
Turkey ,73.4,12.31,4.81,3.07,2.62,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States of America ,41.52,22.59,14.06,0,16.68,1.06,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,66.36,6.5,21.39,0,1.51,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,73.59,9.9,10.83,0,2.63,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,40.83,20.87,13.16,0,18.86,1.53,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,72.71,9.61,12.47,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,67.79,10.24,10.23,0,8.65,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,52.16,22.59,4.03,0,3.96,0,0,0,7.19,4.76,2.1,0,0,0,0,0,0,0,0,0,0
Mexico ,64.22,12.73,10.15,0,8.5,1.51,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,28.47,15.69,38.5,0,10.31,1.42,1.27,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,40.88,20.63,14.5,0,19.81,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,41.21,15.89,25.62,0,12.46,1.21,1.27,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,55.04,12.79,17.73,0,9.96,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,28.06,66.92,1.56,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,50.53,15.58,17.53,0,11.41,1.46,1.21,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,69.5,3.92,15.28,0,2.96,2.32,0,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,70.4,4.87,13.91,0,7.35,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,54.64,7.22,28.9,0,3.1,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,39.61,2.53,46.15,0,3.41,2.07,0,3.26,0,0,0,2.06,0,0,0,0,0,0,0,0,0
Greece ,55.02,9.96,23.65,0,4.55,2.44,0,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,61.05,8.26,19.78,0,2.39,1.57,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,43.35,18.01,13.26,0,21.79,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,60.59,9.95,16.86,0,7.88,1.98,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,50.46,8.21,28.81,0,1.94,1.22,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,40.9,20.84,13.87,0,17.67,2.36,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,77.64,7.3,7.63,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,42.89,10.47,15.82,10,4.67,1,0,12.44,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,77.2,10.91,7.64,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,46.56,6.53,35.23,0,2.44,0,0,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,34.24,35.98,13.75,0,10.71,1.11,1.22,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,68.54,13.11,11.45,0,3.85,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,60.59,14.64,13.56,0,5.93,1.21,1.78,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,52.22,14.52,13.13,0,15.91,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
